question,ground_truth
Cha mẹ đăng ký kết hôn thay cho con được không?,"Theo quy định tại Luật Hôn nhân và gia đình 2014 thì nam, nữ được đăng ký kết hôn tại cơ quan có thẩm quyền của Việt Nam, nhưng phải đáp ứng các điều kiện sau đây:

(1) Nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên;

(2) Việc kết hôn do nam và nữ tự nguyện quyết định;

(3) Không bị mất năng lực hành vi dân sự;

(4) Việc kết hôn không thuộc một trong các trường hợp cấm kết hôn sau đây:

- Kết hôn giả tạo, ly hôn giả tạo;

- Tảo hôn, cưỡng ép kết hôn, lừa dối kết hôn, cản trở kết hôn;

- Người đang có vợ, có chồng mà kết hôn hoặc chung sống như vợ chồng với người khác hoặc chưa có vợ, chưa có chồng mà kết hôn hoặc chung sống như vợ chồng với người đang có chồng, có vợ;

- Kết hôn hoặc chung sống như vợ chồng giữa những người cùng dòng máu về trực hệ; giữa những người có họ trong phạm vi ba đời; giữa cha, mẹ nuôi với con nuôi; giữa người đã từng là cha, mẹ nuôi với con nuôi, cha chồng với con dâu, mẹ vợ với con rể, cha dượng với con riêng của vợ, mẹ kế với con riêng của chồng;

Theo quy định tại Khoản 1 Điều 9 Luật Hôn nhân và gia đình 2014 thì việc kết hôn phải được đăng ký và do cơ quan nhà nước có thẩm quyền thực hiện theo quy định của Luật Hôn nhân và gia đình 2014 và pháp luật về hộ tịch.

Lưu ý: Việc kết hôn không được đăng ký tại cơ quan nhà nước có thẩm quyền thì không có giá trị pháp lý.

Mặt khác, Tại Điều 18 Luật Hộ tịch 2014 có quy định như sau:

Điều 18. Thủ tục đăng ký kết hôn

1. Hai bên nam, nữ nộp tờ khai đăng ký kết hôn theo mẫu quy định cho cơ quan đăng ký hộ tịch và cùng có mặt khi đăng ký kết hôn.

2. Ngay sau khi nhận đủ giấy tờ theo quy định tại khoản 1 Điều này, nếu thấy đủ điều kiện kết hôn theo quy định của Luật hôn nhân và gia đình, công chức tư pháp - hộ tịch ghi việc kết hôn vào Sổ hộ tịch, cùng hai bên nam, nữ ký tên vào Sổ hộ tịch. Hai bên nam, nữ cùng ký vào Giấy chứng nhận kết hôn; công chức tư pháp - hộ tịch báo cáo Chủ tịch Ủy ban nhân dân cấp xã tổ chức trao Giấy chứng nhận kết hôn cho hai bên nam, nữ.

Trường hợp cần xác minh điều kiện kết hôn của hai bên nam, nữ thì thời hạn giải quyết không quá 05 ngày làm việc.

Như vậy, căn cứ quy định được trích dẫn trên đây thì hai bên nam, nữ khi đăng ký kết hôn phải tờ khai đăng ký kết hôn cho cơ quan đăng ký hộ tịch và cùng có mặt khi đăng ký kết hôn. Điều đó, đồng nghĩa hai bên nam, nữ khi đăng ký kết hôn với nhau phải trực tiếp đến cơ quan đăng ký hộ tịch để làm thủ tục đăng ký kết hôn mà không được ủy quyền cho người khác đi thay.

Do đó: Đối với trường hợp bạn và người yêu cùng quê, có dự định đăng ký kết hôn trong năm nay thì cả hai bạn phải trực tiếp đến cơ quan đăng ký hộ tịch để làm thủ tục đăng ký kết hôn, không được ủy quyền để cho cha mẹ hai bên ở quê đi đăng ký kết hôn cho hai bạn (cơ quan đăng ký hộ tịch sẽ không giải quyết).

Tuy nhiên, theo quy định tại khoản 1 Điều 17 Luật Hộ tịch 2014 thì Ủy ban nhân dân cấp xã nơi cư trú của một trong hai bên nam, nữ thực hiện đăng ký kết hôn.

Cũng theo Luật cư trú 2020 thì cư trú được hiểu là việc công dân sinh sống tại một địa điểm thuộc xã, phường, thị trấn dưới hình thức thường trú hoặc tạm trú. Còn nơi cư trú là chỗ ở hợp pháp mà người đó thường xuyên sinh sống. Nơi cư trú của công dân là nơi thường trú hoặc nơi tạm trú. Trong đó:

- Chỗ ở hợp pháp là nhà ở, phương tiện hoặc nhà khác mà công dân sử dụng để cư trú. Chỗ ở hợp pháp có thể thuộc quyền sở hữu của công dân hoặc được cơ quan, tổ chức, cá nhân cho thuê, cho mượn, cho ở nhờ theo quy định của pháp luật.

- Nơi thường trú là nơi công dân sinh sống thường xuyên, ổn định, không có thời hạn tại một chỗ ở nhất định và đã đăng ký thường trú.

- Nơi tạm trú là nơi công dân sinh sống ngoài nơi đăng ký thường trú và đã đăng ký tạm trú.

Như vậy, căn cứ các quy định trên đây thì không nhất thiết hai bạn phải về quê thì mới làm thủ tục đăng ký kết hôn được mà chỉ cần các bạn có đăng ký tạm trú tại địa phương nơi các bạn đang sinh sống và làm việc, thì các bạn có thể liên hệ với Ủy ban nhân dân xã, phường, thị trấn nơi mình đang tạm trú để làm thủ tục đăng ký kết hôn."
Chưa được xóa án tích có được đăng ký kết hôn không?,"Tại Điều 8 Luật Hôn nhân và gia đình 2014 có quy định về điều kiện kết hôn như sau:

Nam, nữ kết hôn với nhau phải tuân theo các điều kiện sau đây:

- Nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên;

- Việc kết hôn do nam và nữ tự nguyện quyết định;

- Không bị mất năng lực hành vi dân sự;

- Việc kết hôn không thuộc một trong các trường hợp cấm kết hôn sau:

+ Kết hôn giả tạo, ly hôn giả tạo;

+ Tảo hôn, cưỡng ép kết hôn, lừa dối kết hôn, cản trở kết hôn;

+ Người đang có vợ, có chồng mà kết hôn hoặc chung sống như vợ chồng với người khác hoặc chưa có vợ, chưa có chồng mà kết hôn hoặc chung sống như vợ chồng với người đang có chồng, có vợ;

+ Kết hôn hoặc chung sống như vợ chồng giữa những người cùng dòng máu về trực hệ; giữa những người có họ trong phạm vi ba đời; giữa cha, mẹ nuôi với con nuôi; giữa người đã từng là cha, mẹ nuôi với con nuôi, cha chồng với con dâu, mẹ vợ với con rể, cha dượng với con riêng của vợ, mẹ kế với con riêng của chồng.

Như vậy, anh, chị bạn nếu đáp ứng được các điều kiện nêu trên thì có thể cùng nhau hoàn tất các thủ tục hồ sơ để đến Ủy ban xã nơi cư trú của một trong hai bên để thực hiện đăng ký kết hôn nhé. Còn việc có được xóa án tích chưa thì trong trường hợp này không bị ảnh hưởng gì.

Trân trọng!"
Có thai trước khi kết hôn có được xem là con chung của vợ chồng?,"Tại Điều 88 Luật Hôn nhân và gia đình 2014 có quy định về xác định cha, mẹ như sau:

1. Con sinh ra trong thời kỳ hôn nhân hoặc do người vợ có thai trong thời kỳ hôn nhân là con chung của vợ chồng.

Con được sinh ra trong thời hạn 300 ngày kể từ thời điểm chấm dứt hôn nhân được coi là con do người vợ có thai trong thời kỳ hôn nhân.

Con sinh ra trước ngày đăng ký kết hôn và được cha mẹ thừa nhận là con chung của vợ chồng.

2. Trong trường hợp cha, mẹ không thừa nhận con thì phải có chứng cứ và phải được Tòa án xác định.

Căn cứ theo quy định hiện hành, trong trường hợp vợ bạn có thai trước khi kết hôn và sinh ra trong thời kỳ hôn nhân thì pháp luật sẽ thừa nhận đây là con chung của hai bạn. Mặc khác, trong trường hợp c on sinh ra trước ngày đăng ký kết hôn và được hai vợ chồng bạn thừa nhận là con chung của vợ chồng thì pháp luật cũng sẽ thừa nhận đây là con chung của hai bạn."
"Người mẹ không kết hôn, con sinh ra có được lấy họ của mẹ?","Tại Điều 26 Bộ luật Dân sự 2015 có quy định về quyền có họ, tên như sau:

1. Cá nhân có quyền có họ, tên (bao gồm cả chữ đệm, nếu có) . Họ, tên của một người được xác định theo họ, tên khai sinh của người đó.

2. Họ của cá nhân được xác định là họ của cha đẻ hoặc họ của mẹ đẻ theo thỏa thuận của cha mẹ; nếu không có thỏa thuận thì họ của con được xác định theo tập quán. Trường hợp chưa xác định được cha đẻ thì họ của con được xác định theo họ của mẹ đẻ.

Trường hợp trẻ em bị bỏ rơi, chưa xác định được cha đẻ, mẹ đẻ và được nhận làm con nuôi thì họ của trẻ em được xác định theo họ của cha nuôi hoặc họ của mẹ nuôi theo thỏa thuận của cha mẹ nuôi. Trường hợp chỉ có cha nuôi hoặc mẹ nuôi thì họ của trẻ em được xác định theo họ của người đó.

Trường hợp trẻ em bị bỏ rơi, chưa xác định được cha đẻ, mẹ đẻ và chưa được nhận làm con nuôi thì họ của trẻ em được xác định theo đề nghị của người đứng đầu cơ sở nuôi dưỡng trẻ em đó hoặc theo đề nghị của người có yêu cầu đăng ký khai sinh cho trẻ em, nếu trẻ em đang được người đó tạm thời nuôi dưỡng.

Cha đẻ, mẹ đẻ được quy định trong Bộ luật này là cha, mẹ được xác định dựa trên sự kiện sinh đẻ; người nhờ mang thai hộ với người được sinh ra từ việc mang thai hộ theo quy định của Luật hôn nhân và gia đình.

3. Việc đặt tên bị hạn chế trong trường hợp xâm phạm đến quyền, lợi ích hợp pháp của người khác hoặc trái với các nguyên tắc cơ bản của pháp luật dân sự quy định tại Điều 3 của Bộ luật này.

Tên của công dân Việt Nam phải bằng tiếng Việt hoặc tiếng dân tộc khác của Việt Nam; không đặt tên bằng số, bằng một ký tự mà không phải là chữ.

4. Cá nhân xác lập, thực hiện quyền, nghĩa vụ dân sự theo họ, tên của mình.

5. Việc sử dụng bí danh, bút danh không được gây thiệt hại đến quyền, lợi ích hợp pháp của người khác.

Theo đó, trong trường hợp người mẹ không kết hôn thì con sinh ra được phép lấy họ của mẹ."
Điều kiện kết hôn giữa nam và nữ được quy định như thế nào?,"Tại Điều 8 Luật Hôn nhân và gia đình 2014 có quy định về điều kiện kết hôn như sau:

1. Nam, nữ kết hôn với nhau phải tuân theo các điều kiện sau đây:

a) Nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên;

b) Việc kết hôn do nam và nữ tự nguyện quyết định;

c) Không bị mất năng lực hành vi dân sự;

d) Việc kết hôn không thuộc một trong các trường hợp cấm kết hôn theo quy định tại các điểm a, b, c và d khoản 2 Điều 5 của Luật này.

2. Nhà nước không thừa nhận hôn nhân giữa những người cùng giới tính.

Như vậy, nếu đáp ứng được các điều kiện trên thì nam nữ sẽ được kết hôn.

Trân trọng!"
Có được kết hôn với nhau khi là anh em cùng cha khác mẹ hay không?,"Tại điểm d khoản 2 Điều 5 Luật Hôn nhân và gia đình 2014 có quy định:

Bảo vệ chế độ hôn nhân và gia đình

...

2. Cấm các hành vi sau đây:

...

d) Kết hôn hoặc chung sống như vợ chồng giữa những người cùng dòng máu về trực hệ; giữa những người có họ trong phạm vi ba đời; giữa cha, mẹ nuôi với con nuôi; giữa người đã từng là cha, mẹ nuôi với con nuôi, cha chồng với con dâu, mẹ vợ với con rể, cha dượng với con riêng của vợ, mẹ kế với con riêng của chồng;

Theo đó, căn cứ quy định được trích dẫn trên đây thì pháp luật nghiêm cấm việc kết hôn hoặc chung sống như vợ chồng giữa những người cùng dòng máu về trực hệ; giữa những người có họ trong phạm vi ba đời.

Đồng nghĩa, những người cùng dòng máu về trực hệ hoặc có họ trong phạm vi ba đời thì không được kết hôn với nhau.

Trong đó, theo quy định tại Điều 3 Luật Hôn nhân và gia đình 2014 thì:

Giải thích từ ngữ

...

17. Những người cùng dòng máu về trực hệ là những người có quan hệ huyết thống, trong đó, người này sinh ra người kia kế tiếp nhau.

18. Những người có họ trong phạm vi ba đời là những người cùng một gốc sinh ra gồm cha mẹ là đời thứ nhất; anh, chị, em cùng cha mẹ, cùng cha khác mẹ, cùng mẹ khác cha là đời thứ hai; anh, chị, em con chú, con bác, con cô, con cậu, con dì là đời thứ ba.

...

Như vậy, căn cứ quy định được trích dẫn trên đây thì có thể xác định anh em cùng cha khác mẹ thuộc trường hợp là những người có họ trong phạm vi ba đời, trong đó có cha là đời thứ nhất và anh em cùng cha là đời thứ hai.

Mà theo như thông tin bạn cung cấp cho chúng tôi thì bạn và bạn gái quen nhau được 3 năm. Gần đây bạn có phát hiện thông tin rằng bạn gái mà bạn quen suốt 3 năm là em cùng cha khác mẹ với bạn, nhưng chưa có cơ sở khoa học hoặc pháp lý để chứng minh về vấn đề này.

Do đó, bạn nên thực hiện kiểm tra ADN để có kết luận chính xác nhất về trường hợp này. Nếu sau khi kiểm tra ADN mà cho ra kết quả hai người là anh em cùng cha khác mẹ thì hai bạn không thể kết hôn với nhau.

Trường hợp khi kiểm tra ADN mà cho ra kết quả không trùng khớp - tức hai bạn không phải là anh em cùng cha khác mẹ thì hai bạn có thể đăng ký kết hôn với nhau. Tuy nhiên hai người cần phải đáp ứng đủ các điều kiện kết hôn được quy định tại Điều 8 Luật Hôn nhân và gia đình 2014 ."
Có thể kết hôn với người bị bại liệt nửa người không?,"Căn cứ Điều 5 Luật Hôn nhân và gia đình 2014 và Điều 8 Luật Hôn nhân và gia đình 2014 quy đinh về các trường hợp cấm kết hôn và điều kiện để nam nữ kết hôn cụ thể như sau:

Cấm các hành vi sau đây:

- Kết hôn giả tạo, ly hôn giả tạo;

- Tảo hôn, cưỡng ép kết hôn, lừa dối kết hôn, cản trở kết hôn;

- Người đang có vợ, có chồng mà kết hôn hoặc chung sống như vợ chồng với người khác hoặc chưa có vợ, chưa có chồng mà kết hôn hoặc chung sống như vợ chồng với người đang có chồng, có vợ;

- Kết hôn hoặc chung sống như vợ chồng giữa những người cùng dòng máu về trực hệ; giữa những người có họ trong phạm vi ba đời; giữa cha, mẹ nuôi với con nuôi; giữa người đã từng là cha, mẹ nuôi với con nuôi, cha chồng với con dâu, mẹ vợ với con rể, cha dượng với con riêng của vợ, mẹ kế với con riêng của chồng;

...

Nam, nữ kết hôn với nhau phải tuân theo các điều kiện sau đây:

- Nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên;

- Việc kết hôn do nam và nữ tự nguyện quyết định;

- Không bị mất năng lực hành vi dân sự;

- Việc kết hôn không thuộc một trong các trường hợp cấm kết hôn theo quy định tại các điểm a, b, c và d khoản 2 Điều 5 của Luật này.

Nhà nước không thừa nhận hôn nhân giữa những người cùng giới tính.

Như vậy, căn cứ quy định của pháp luật thì trường hợp người yêu bạn bị bại liệt nửa người không thuộc các trường hợp bị cấm kết hôn theo quy định của pháp luật và nếu hai bạn đáp ứng được các điều kiện để kết hôn thì hai bạn hoàn toàn có thể thực hiện thủ tục kết hôn với nhau.

Tuy nhiên, căn cứ Điều 18 Luật Hộ tịch 2014 quy định về thủ tục đăng ký kết hôn theo đó:

Thủ tục đăng ký kết hôn

1. Hai bên nam, nữ nộp tờ khai đăng ký kết hôn theo mẫu quy định cho cơ quan đăng ký hộ tịch và cùng có mặt khi đăng ký kết hôn.

...

Như vậy, vì người yêu bạn bị bại liệt do vậy sẽ rất khó khăn trong việc di chuyển để có mặt tại cơ quan tư pháp xã phường để cùng bạn đăng ký kết hôn, nếu giải quyết được vấn đề này thì bạn hoàn toàn có thể đăng ký kết hôn bình thường theo quy định của pháp luật."
Thủ tục đăng ký kết hôn với người Việt Nam ở trong nước như thế nào?,"1. Căn cứ pháp lý:

- Luật Hôn nhân và gia đình 2014 .

- Điều 11 Luật Hộ tịch 2014 và Điều 18 Luật Hộ tịch 2014 .

- Điều 2 Nghị định 123/2015/NĐ-CP và Điều 10 Nghị định 123/2015/NĐ-CP .

2. Điều kiện:

- Nam, nữ kết hôn với nhau phải tuân theo các điều kiện sau đây:

+ Nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên.

+ Việc kết hôn do nam và nữ tự nguyện quyết định.

+ Không bị mất năng lực hành vi dân sự.

+ Việc kết hôn không thuộc một trong các trường hợp cấm kết hôn theo quy định tại các điểm a, b, c và d khoản 2 Điều 5 Luật Hôn nhân và gia đình 2014 .

- Nhà nước không thừa nhận hôn nhân giữa những người cùng giới tính.

3. Hồ sơ:

- Chứng minh nhân dân hoặc hộ chiếu hoặc thẻ căn cước công dân hoặc các giấy tờ khác có dán ảnh và thông tin cá nhân do cơ quan có thẩm quyền cấp, còn giá trị sử dụng (sau đây gọi là giấy tờ tùy thân) để chứng minh về nhân thân.

- Giấy xác nhận tình trạng hôn nhân nếu không thường trú tại xã nơi đăng ký kết hôn.

- Tờ khai đăng ký kết hôn theo mẫu.

4. Phương thức nộp:

Hồ sơ đăng ký kết hôn do hai bên nộp trực tiếp và cùng có mặt tại UBND cấp xã.

5. Cơ quan giải quyết:

Ủy ban nhân dân cấp xã nơi cư trú của một trong hai bên nam, nữ thực hiện đăng ký kết hôn.

6. Thời hạn giải quyết:

- Ngay sau khi nhận đủ giấy tờ theo quy định, nếu thấy đủ điều kiện kết hôn theo quy định của Luật hôn nhân và gia đình, công chức tư pháp - hộ tịch ghi việc kết hôn vào Sổ hộ tịch, cùng hai bên nam, nữ ký tên vào Sổ hộ tịch. Hai bên nam, nữ cùng ký vào Giấy chứng nhận kết hôn; công chức tư pháp - hộ tịch báo cáo Chủ tịch Ủy ban nhân dân cấp xã tổ chức trao Giấy chứng nhận kết hôn cho hai bên nam, nữ.

- Trường hợp cần xác minh điều kiện kết hôn của hai bên nam, nữ thì thời hạn giải quyết không quá 05 ngày làm việc.

7. Lệ phí: Được miễn phí.

Trân trọng!"
Vi phạm các điều kiện kết hôn là kết hôn trái pháp luật,"Khoản 1 Điều 8 Luật Hôn nhân và Gia đình quy định nam, nữ kết hôn với nhau phải tuân theo các điều kiện sau đây:

a) Nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên;

b) Việc kết hôn do nam và nữ tự nguyện quyết định;

c) Không bị mất năng lực hành vi dân sự;

d) Việc kết hôn không thuộc một trong các trường hợp cấm kết hôn theo quy định tại các điểm a, b, c và d khoản 2 Điều 5 của luật này.

Theo khoản 6 Điều 3 Luật Hôn nhân và Gia đình: Kết hôn trái pháp luật là việc nam, nữ đã đăng ký kết hôn tại cơ quan nhà nước có thẩm quyền nhưng một bên hoặc cả hai bên vi phạm điều kiện kết hôn theo quy định tại Điều 8 của luật này.

Như vậy, nếu việc kết hôn của em anh không do cô ấy tự nguyện mà bị ép buộc xem như đã vi phạm một trong các điều kiện được phép kết hôn. Do vậy, em gái anh và gia đình nên bàn bạc lại vấn đề này."
Xử lý việc kết hôn trái pháp luật được quy định như thế nào?,"Tại Điều 11 Luật Hôn nhân và gia đình 2014 có quy định về xử lý việc kết hôn trái pháp luật như sau:

1. Xử lý việc kết hôn trái pháp luật được Tòa án thực hiện theo quy định tại Luật này và pháp luật về tố tụng dân sự.

2. Trong trường hợp tại thời điểm Tòa án giải quyết yêu cầu hủy việc kết hôn trái pháp luật mà cả hai bên kết hôn đã có đủ các điều kiện kết hôn theo quy định tại Điều 8 của Luật này và hai bên yêu cầu công nhận quan hệ hôn nhân thì Tòa án công nhận quan hệ hôn nhân đó. Trong trường hợp này, quan hệ hôn nhân được xác lập từ thời điểm các bên đủ điều kiện kết hôn theo quy định của Luật này.

3. Quyết định của Tòa án về việc hủy kết hôn trái pháp luật hoặc công nhận quan hệ hôn nhân phải được gửi cho cơ quan đã thực hiện việc đăng ký kết hôn để ghi vào sổ hộ tịch; hai bên kết hôn trái pháp luật; cá nhân, cơ quan, tổ chức liên quan theo quy định của pháp luật về tố tụng dân sự.

4. Tòa án nhân dân tối cao chủ trì phối hợp với Viện kiểm sát nhân dân tối cao và Bộ Tư pháp hướng dẫn Điều này.

Trân trọng!"
Xung khắc tuối thì có lấy nhau được không?,"Căn cứ quy định Điều 8 Luật Hôn nhân gia đình 2014 điều kiện kết hôn, như sau:

1. Nam, nữ kết hôn với nhau phải tuân theo các điều kiện sau đây:

a) Nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên;

b) Việc kết hôn do nam và nữ tự nguyện quyết định;

c) Không bị mất năng lực hành vi dân sự;

d) Việc kết hôn không thuộc một trong các trường hợp cấm kết hôn theo quy định tại các điểm a, b, c và d khoản 2 Điều 5 của Luật này.

2. Nhà nước không thừa nhận hôn nhân giữa những người cùng giới tính.

Tại khoản 2 Điều 5 Luật Hôn nhân gia đình 2014 các hành vi bị cấm kết hôn, như sau:

a) Kết hôn giả tạo, ly hôn giả tạo;

b) Tảo hôn, cưỡng ép kết hôn, lừa dối kết hôn, cản trở kết hôn;

c) Người đang có vợ, có chồng mà kết hôn hoặc chung sống như vợ chồng với người khác hoặc chưa có vợ, chưa có chồng mà kết hôn hoặc chung sống như vợ chồng với người đang có chồng, có vợ;

d) Kết hôn hoặc chung sống như vợ chồng giữa những người cùng dòng máu về trực hệ; giữa những người có họ trong phạm vi ba đời; giữa cha, mẹ nuôi với con nuôi; giữa người đã từng là cha, mẹ nuôi với con nuôi, cha chồng với con dâu, mẹ vợ với con rể, cha dượng với con riêng của vợ, mẹ kế với con riêng của chồng;

đ) Yêu sách của cải trong kết hôn;

e) Cưỡng ép ly hôn, lừa dối ly hôn, cản trở ly hôn;

g) Thực hiện sinh con bằng kỹ thuật hỗ trợ sinh sản vì mục đích thương mại, mang thai hộ vì mục đích thương mại, lựa chọn giới tính thai nhi, sinh sản vô tính;

h) Bạo lực gia đình;

i) Lợi dụng việc thực hiện quyền về hôn nhân và gia đình để mua bán người, bóc lột sức lao động, xâm phạm tình dục hoặc có hành vi khác nhằm mục đích trục lợi.

Vì vậy, căn cứ theo các quy định trên, nếu bạn và bạn trai đáp ứng các điều kiện về độ tuổi kết hôn, hoàn toàn tự nguyện và không thuộc các điều kiện cấm kết hôn thì hai bạn có thể kết hôn với nhau."
Có chế tài nào xử lý khi ra sức cản trở người khác kết hôn hay không?,"Tùy theo tính chất, mức độ mà hành vi cản trở kết hôn có thể bị phạt hành chính hoặc thậm chí bị truy cứu trách nhiệm hình sự. Cụ thể:

Theo quy định khoản 1 Điều 59 Nghị định 82/2020/NĐ-CP , Phạt tiền từ 3.000.000 đồng đến 5.000.000 đồng đối với hành vi cản trở kết hôn, yêu sách của cải trong kết hôn hoặc cản trở ly hôn.

1. Phạt tiền từ 3.000.000 đồng đến 5.000.000 đồng đối với một trong các hành vi sau:

a) Đang có vợ hoặc đang có chồng mà kết hôn với người khác, chưa có vợ hoặc chưa có chồng mà kết hôn với người mà mình biết rõ là đang có chồng hoặc đang có vợ;

b) Đang có vợ hoặc đang có chồng mà chung sống như vợ chồng với người khác;

c) Chưa có vợ hoặc chưa có chồng mà chung sống như vợ chồng với người mà mình biết rõ là đang có chồng hoặc đang có vợ;

d) Kết hôn hoặc chung sống như vợ chồng giữa người đã từng là cha, mẹ nuôi với con nuôi, cha chồng với con dâu, mẹ vợ với con rể, cha dượng với con riêng của vợ, mẹ kế với con riêng của chồng;

đ) Cản trở kết hôn, yêu sách của cải trong kết hôn hoặc cản trở ly hôn.

Căn cứ Điều 181 Bộ luật Hình sự 2015 , quy định về tội cưỡng ép kết hôn, ly hôn hoặc cản trở hôn nhân tự nguyện, tiến bộ, cản trở ly hôn tự nguyện như sau:

Người nào cưỡng ép người khác kết hôn trái với sự tự nguyện của họ, cản trở người khác kết hôn hoặc duy trì quan hệ hôn nhân tự nguyện, tiến bộ hoặc cưỡng ép hoặc cản trở người khác ly hôn bằng cách hành hạ, ngược đãi, uy hiếp tinh thần, yêu sách của cải hoặc bằng thủ đoạn khác, đã bị xử phạt vi phạm hành chính về hành vi này mà còn vi phạm, thì bị phạt cảnh cáo, phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 03 tháng đến 03 năm.

Theo đó, hành vi cản trở kết hôn có thể bị phạt hành chính với mức phạt tiền từ 3.000.000 đồng đến 5.000.000 đồng. Ngoài ra, còn có thể bị truy cứu trách nhiệm hình sự với mức phạt cảnh cáo, phạt cải tạo không giam giữ hoặc phạt tù đến 03 năm.

Trân trọng!"
Giáo viên có được kết hôn với học sinh không?,"Căn cứ Điều 8 Luật Hôn nhân và gia đình 2014 có quy định điều kiện kết hôn như sau:

1. Nam, nữ kết hôn với nhau phải tuân theo các điều kiện sau đây: a) Nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên; b) Việc kết hôn do nam và nữ tự nguyện quyết định; c) Không bị mất năng lực hành vi dân sự; d) Việc kết hôn không thuộc một trong các trường hợp cấm kết hôn theo quy định tại các điểm a, b, c và d khoản 2 Điều 5 của Luật này. 2. Nhà nước không thừa nhận hôn nhân giữa những người cùng giới tính.

Tại Khoản 2 Điều 5 Luật Hôn nhân và gia đình 2014 nghiêm cấm các hành vi như sau:

a) Kết hôn giả tạo, ly hôn giả tạo; b) Tảo hôn, cưỡng ép kết hôn, lừa dối kết hôn, cản trở kết hôn; c) Người đang có vợ, có chồng mà kết hôn hoặc chung sống như vợ chồng với người khác hoặc chưa có vợ, chưa có chồng mà kết hôn hoặc chung sống như vợ chồng với người đang có chồng, có vợ; d) Kết hôn hoặc chung sống như vợ chồng giữa những người cùng dòng máu về trực hệ; giữa những người có họ trong phạm vi ba đời; giữa cha, mẹ nuôi với con nuôi; giữa người đã từng là cha, mẹ nuôi với con nuôi, cha chồng với con dâu, mẹ vợ với con rể, cha dượng với con riêng của vợ, mẹ kế với con riêng của chồng; đ) Yêu sách của cải trong kết hôn; e) Cưỡng ép ly hôn, lừa dối ly hôn, cản trở ly hôn; g) Thực hiện sinh con bằng kỹ thuật hỗ trợ sinh sản vì mục đích thương mại, mang thai hộ vì mục đích thương mại, lựa chọn giới tính thai nhi, sinh sản vô tính; h) Bạo lực gia đình; i) Lợi dụng việc thực hiện quyền về hôn nhân và gia đình để mua bán người, bóc lột sức lao động, xâm phạm tình dục hoặc có hành vi khác nhằm mục đích trục lợi.

Như vậy, theo quy định như trên, không có quy định nghiêm cấm việc giáo viên không được kết hôn với học sinh. Tuy nhiên, để được kết hôn với học sinh này thì bạn và học sinh này phải đáp ứng đầy đủ các điều kiện theo quy định kể trên."
Giáo viên kết hôn với học sinh có bị kỷ luật không?,"Theo Điều 16 Nghị định 112/2020/NĐ-CP hình thức kỷ luật khiển trách áp dụng đối với hành vi vi phạm lần đầu, gây hậu quả ít nghiêm trọng, trừ các hành vi vi phạm quy định tại khoản 3 Điều 17 Nghị định này, thuộc một trong các trường hợp sau đây:

1. Không tuân thủ quy trình, quy định chuyên môn, nghiệp vụ, đạo đức nghề nghiệp và quy tắc ứng xử trong khi thực hiện hoạt động nghề nghiệp, đã được cấp có thẩm quyền nhắc nhở bằng văn bản; 2. Vi phạm quy định của pháp luật về: thực hiện chức trách, nhiệm vụ của viên chức; kỷ luật lao động; quy định, nội quy, quy chế làm việc của đơn vị sự nghiệp công lập đã được cấp có thẩm quyền nhắc nhở bằng văn bản; 3. Lợi dụng vị trí công tác nhằm mục đích vụ lợi; có thái độ hách dịch, cửa quyền hoặc gây khó khăn, phiền hà đối với nhân dân trong quá trình thực hiện công việc, nhiệm vụ được giao; xác nhận hoặc cấp giấy tờ pháp lý cho người không đủ điều kiện; xúc phạm danh dự, nhân phẩm, uy tín của người khác trong khi thực hiện hoạt động nghề nghiệp; 4. Không chấp hành quyết định phân công công tác của cấp có thẩm quyền; không thực hiện nhiệm vụ được giao mà không có lý do chính đáng; gây mất đoàn kết trong đơn vị; 5. Vi phạm quy định của pháp luật về: phòng, chống tội phạm; phòng, chống tệ nạn xã hội; trật tự, an toàn xã hội; phòng, chống tham nhũng; thực hành tiết kiệm, chống lãng phí; 6. Vi phạm quy định của pháp luật về bảo vệ bí mật nhà nước; 7. Vi phạm quy định của pháp luật về khiếu nại, tố cáo; 8. Vi phạm quy định của pháp luật về: đầu tư, xây dựng; đất đai, tài nguyên môi trường; tài chính, kế toán, ngân hàng; quản lý, sử dụng tài sản công trong quá trình hoạt động nghề nghiệp; 9. Vi phạm quy định của pháp luật về: phòng, chống bạo lực gia đình; dân số, hôn nhân và gia đình; bình đẳng giới; an sinh xã hội; quy định khác của pháp luật liên quan đến viên chức.

Theo đó, nếu bạn kết hôn với học sinh mà không đáp ứng được các điều kiện kết hôn như phần trên thì có bị kỷ luật với hình thức khiển trách, hình thức kỷ luật cụ thể phụ thuộc vào hậu quả gây ra.

Trân trọng!"
